HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30020915,2,7,2,2,15,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,2,15,4,8,13,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,2,13,4,2,3,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,2,0,0,0,6,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,2,6,1,3,7,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30020915,2,7,2,2,3,7,2,0,57,0,3,3,1,0,-1,0,3,3,5,7,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30021637,1,0,3,4,8,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,8,1,8,12,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,12,1,3,7,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,7,1,8,12,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,12,1,4,8,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,8,1,3,7,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021637,1,7,2,2,3,8,1,0,60,0,1,4,0,0,60,0,1,1,0,7,13.87,19.88,-9.0,0,0,0,0,1,1,0,2
30021732,1,0,4,8,13,3,1,0,64,0,0,2,0,0,-1,0,0,0,3,2,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30021732,1,13,4,2,3,3,1,0,64,0,0,2,0,0,-1,0,0,0,3,2,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,2
30021736,1,0,4,8,12,4,1,0,59,0,1,7,1,0,12,0,1,1,3,4,2.97,3.86,-9.0,4,3,0,0,1,1,0,0
30021736,1,12,1,0,4,4,1,0,59,0,1,7,1,0,12,0,1,1,3,4,2.97,3.86,-9.0,4,3,0,0,1,1,0,0
30021736,1,4,1,1,5,4,1,0,59,0,1,7,1,0,12,0,1,1,3,4,2.97,3.86,-9.0,4,3,0,0,1,1,0,0
30021736,1,5,2,2,3,4,1,0,59,0,1,7,1,0,12,0,1,1,3,4,2.97,3.86,-9.0,4,3,0,0,1,1,0,0
30021764,1,0,2,1,2,3,2,1,35,0,3,2,0,0,-1,0,3,3,15,3,-9.0,-9.0,-9.0,4,0,0,0,1,5,0,2
