HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10076143,2,2,41,1,1,12,9,2,1,67,-1,-1,-1,-1,-1,2,0,0,-9,-1,2
10077542,1,1,1,1,43,6,4,2,0,58,-1,-1,-1,-1,-1,2,0,1,-9,-1,1
10077542,1,1,43,1,1,12,4,2,0,58,-1,-1,-1,-1,-1,2,0,1,-9,-1,1
10081521,1,2,1,1,22,4,18,4,3,50,1,1,-1,1,14,5,7,0,12,15,3
10081521,1,2,22,1,1,12,18,4,3,50,1,1,-1,1,14,5,7,0,12,15,3
10081521,1,2,1,1,51,8,18,3,3,50,1,1,-1,1,14,5,7,0,12,15,3
10081521,1,2,51,1,53,8,18,5,3,50,1,1,-1,1,14,5,7,0,12,15,3
10081521,1,2,53,1,1,12,18,3,3,50,1,1,-1,1,14,5,7,0,12,15,3
10081521,3,2,1,1,22,4,18,4,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,22,1,1,12,18,4,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,1,1,52,8,18,3,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,52,1,52,8,18,5,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,52,1,52,8,18,5,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,52,1,52,8,18,5,3,23,1,1,-1,4,3,7,7,7,5,5,3
10081521,3,2,52,1,1,12,18,3,3,23,1,1,-1,4,3,7,7,7,5,5,3
10084371,1,1,1,2,41,6,-7,2,0,83,-1,1,-1,-1,-1,2,7,0,-9,-1,1
10084371,1,1,41,2,1,12,-7,2,0,83,-1,1,-1,-1,-1,2,7,0,-9,-1,1
10084755,1,1,1,1,61,7,10,4,2,31,1,1,-1,1,0,4,20,0,0.11,3,2
10084755,1,1,61,1,1,12,10,4,2,31,1,1,-1,1,0,4,20,0,0.11,3,2
10084755,1,1,1,1,64,7,10,4,2,31,1,1,-1,1,0,4,20,0,0.11,3,2
10084755,1,1,64,1,1,12,10,4,2,31,1,1,-1,1,0,4,20,0,0.11,3,2
10084755,2,1,1,1,11,1,10,1,2,30,1,4,-1,4,5,5,0,0,7,15,2
10084755,2,1,11,1,61,7,10,5,2,30,1,4,-1,4,5,5,0,0,7,15,2
10084755,2,1,61,1,1,12,10,4,2,30,1,4,-1,4,5,5,0,0,7,15,2
10084755,2,1,1,1,12,11,10,1,2,30,1,4,-1,4,5,5,0,0,7,15,2
10084755,2,1,12,1,1,12,10,1,2,30,1,4,-1,4,5,5,0,0,7,15,2
10087756,1,1,1,1,11,1,4,1,1,47,-1,1,1,-1,4,3,0,0,6,-5,1
10087756,1,1,11,1,14,2,4,5,1,47,-1,1,1,-1,4,3,0,0,6,-5,1
10087756,1,1,14,1,1,12,4,4,1,47,-1,1,1,-1,4,3,0,0,6,-5,1
10094745,1,1,1,1,51,8,8,3,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
10094745,1,1,51,1,53,8,8,5,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
10094745,1,1,53,1,82,9,8,5,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
10094745,1,1,82,1,73,10,8,5,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
10094745,1,1,73,1,41,6,8,5,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
10094745,1,1,41,1,1,12,8,2,0,63,-1,1,-1,-1,-1,8,7,0,-9,-1,2
