R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
76,0,-1,0,0,0,3,10094802,-1,1,3,25,3,1,2,1,9,0,2,0,2
35,2,10,0,2,0,12,10094802,2,3,25,0,3,0,2,1,9,0,2,0,2
35,2,10,0,2,0,3,10094802,2,3,3,25,3,0,2,1,9,0,2,0,2
55,0,-1,0,3,0,0,10095041,-1,1,0,0,3,1,2,2,10,3,0,0,0
55,0,-1,0,3,0,3,10095041,-1,1,3,1,3,1,2,2,10,3,0,0,0
49,0,20,5,3,0,1,10095041,7,2,1,0,3,0,7,2,10,1,0,0,0
49,0,20,5,3,0,3,10095041,7,2,3,2,3,0,7,2,10,1,0,0,0
49,0,20,5,3,0,2,10095041,7,2,2,0,3,0,7,2,10,1,4,0,0
49,0,20,5,3,0,3,10095041,7,2,3,3,3,0,7,2,10,1,4,0,0
49,0,20,5,3,0,0,10095041,7,2,0,0,3,0,7,2,10,1,0,0,0
49,0,20,5,3,0,3,10095041,7,2,3,1,3,0,7,2,10,1,0,0,0
49,0,20,5,3,0,6,10095041,7,2,29,0,3,0,7,2,10,1,3,0,0
20,0,40,1,0,0,2,10095041,5,3,2,0,3,0,2,2,10,1,4,0,0
20,0,40,1,0,0,3,10095041,5,3,3,3,3,0,2,2,10,1,4,0,0
42,0,-1,0,2,0,6,10095368,-1,1,7,0,4,1,2,3,9,2,3,0,2
42,0,-1,0,2,0,3,10095368,-1,1,3,7,4,1,2,3,9,2,3,0,2
49,0,15,0,5,0,2,10095368,8,2,2,0,4,6,4,3,9,0,4,0,2
49,0,15,0,5,0,10,10095368,8,2,16,3,4,6,4,3,9,0,1,0,2
49,0,15,0,5,0,0,10095368,8,2,0,16,4,6,4,3,9,0,1,0,2
49,0,15,0,5,0,3,10095368,8,2,3,1,4,6,4,3,9,0,0,0,2
19,0,12,0,0,0,2,10095368,4,3,2,0,4,6,2,3,9,1,4,0,2
19,0,12,0,0,0,3,10095368,4,3,3,3,4,6,2,3,9,1,4,0,2
79,0,-1,0,7,0,1,10105780,-1,2,4,0,2,1,2,0,14,1,2,0,1
79,0,-1,0,7,0,3,10105780,-1,2,3,4,2,1,2,0,14,1,2,0,1
77,0,-1,0,0,1,5,10129740,-1,1,6,0,1,1,4,0,0,0,0,0,0
77,0,-1,0,0,1,3,10129740,-1,1,3,6,1,1,4,0,0,0,0,0,0
77,0,-1,0,0,1,5,10129740,-1,1,6,0,1,1,4,0,0,0,0,0,0
77,0,-1,0,0,1,3,10129740,-1,1,3,6,1,1,4,0,0,0,0,0,0
36,0,-1,0,5,0,1,10136159,-1,1,1,0,1,1,6,1,14,1,0,0,1
36,0,-1,0,5,0,1,10136159,-1,1,1,2,1,1,6,1,14,1,1,0,1
36,0,-1,0,5,0,3,10136159,-1,1,3,2,1,1,6,1,14,1,0,0,1
36,0,-1,0,5,0,5,10136159,-1,1,6,0,1,1,6,1,14,1,0,0,1
36,0,-1,0,5,0,3,10136159,-1,1,3,6,1,1,6,1,14,1,0,0,1
36,0,-1,0,5,0,6,10136159,-1,1,21,0,1,1,6,1,14,1,3,0,1
58,0,35,7,21,0,0,10137428,18,2,0,0,2,3,3,1,5,1,0,0,2
58,0,35,7,21,0,3,10137428,18,2,3,1,2,3,3,1,5,1,0,0,2
58,0,35,7,21,0,2,10137428,18,2,2,0,2,3,3,1,5,1,4,0,2
43,0,45,0,7,1,2,10141386,20,1,2,0,2,6,3,2,13,2,4,0,1
43,0,45,0,7,1,5,10141386,20,1,6,3,2,6,3,2,13,2,1,0,1
43,0,45,0,7,1,3,10141386,20,1,3,6,2,6,3,2,13,2,0,0,1
41,0,50,0,7,1,4,10141386,20,2,12,0,2,7,5,2,13,0,2,0,1
