HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK,DISTTOSC,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,HHFAMINC2,WEBUSE
30009843,1,Work,NHB,Shopping,BuyGoods,35K-50K,1,Urban,23,Yes,Car,4,0,0,17,OnceMonthMore,Car,Car,16,3,2596.27,3129.79,-9.0,FewAMonth,Daily,Never,Never,1,1,0,Daily
30009843,1,BuyGoods,HBSHOP,Home,Home,35K-50K,1,Urban,23,Yes,Car,4,0,0,17,OnceMonthMore,Car,Car,16,3,2596.27,3129.79,-9.0,FewAMonth,Daily,Never,Never,1,1,0,Daily
30010005,1,Home,HBSHOP,Shopping,BuyService,10K-15K,0,Urban,65,No,Skip,0,0,0,-1,Skip,Skip,Skip,1,2,-9.0,-9.0,-9.0,Never,Never,Never,Never,5,1,0,Never
30010005,1,BuyService,HBSHOP,Home,Home,10K-15K,0,Urban,65,No,Skip,0,0,0,-1,Skip,Skip,Skip,1,2,-9.0,-9.0,-9.0,Never,Never,Never,Never,5,1,0,Never
30011070,1,Home,HBSHOP,Meals,BuyMeals,35K-50K,0,Urban,71,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,5,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,1,BuyMeals,NHB,Shopping,BuyService,35K-50K,0,Urban,71,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,5,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,1,BuyService,NHB,Shopping,Errands,35K-50K,0,Urban,71,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,5,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,1,Errands,HBO,Home,Home,35K-50K,0,Urban,71,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,5,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,2,Home,HBSHOP,Meals,BuyMeals,35K-50K,0,Urban,70,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,2,BuyMeals,NHB,Shopping,BuyService,35K-50K,0,Urban,70,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,2,BuyService,NHB,Shopping,Errands,35K-50K,0,Urban,70,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30011070,2,Errands,HBO,Home,Home,35K-50K,0,Urban,70,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,2,0,Daily
30014360,1,Home,HBW,WorkRelated,Work,15K-25K,2,Urban,48,Yes,Car,2,2,0,10,Skip,Car,Car,0,2,5.33,5.81,-9.0,FewAWeek,Daily,NotAscertained,NotAscertained,1,2,0,Daily
30014360,1,Work,HBW,Home,Home,15K-25K,2,Urban,48,Yes,Car,2,2,0,10,Skip,Car,Car,0,2,5.33,5.81,-9.0,FewAWeek,Daily,NotAscertained,NotAscertained,1,2,0,Daily
30014360,2,Home,HBW,WorkRelated,Work,15K-25K,2,Urban,48,Yes,Car,2,2,0,10,Skip,Car,Car,0,2,1.49,2.13,-9.0,FewAWeek,Daily,NotAscertained,NotAscertained,1,2,0,Daily
30014360,2,Work,HBW,Home,Home,15K-25K,2,Urban,48,Yes,Car,2,2,0,10,Skip,Car,Car,0,2,1.49,2.13,-9.0,FewAWeek,Daily,NotAscertained,NotAscertained,1,2,0,Daily
30014500,1,GoToGym,NHB,Shopping,BuyGoods,25K-35K,0,Urban,65,Yes,Skip,3,0,0,-1,Skip,Skip,Skip,2,3,-9.0,-9.0,-9.0,FewAMonth,Daily,Never,Never,1,1,0,Daily
30014500,1,BuyGoods,NHB,Shopping,BuyGoods,25K-35K,0,Urban,65,Yes,Skip,3,0,0,-1,Skip,Skip,Skip,2,3,-9.0,-9.0,-9.0,FewAMonth,Daily,Never,Never,1,1,0,Daily
30014500,1,BuyGoods,HBSHOP,Home,Home,25K-35K,0,Urban,65,Yes,Skip,3,0,0,-1,Skip,Skip,Skip,2,3,-9.0,-9.0,-9.0,FewAMonth,Daily,Never,Never,1,1,0,Daily
30017207,1,Home,HBO,Home,Home,100K-125K,0,Urban,92,Yes,Skip,20,0,0,-1,Skip,Skip,Skip,0,2,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,1,2,Daily
30017207,1,Home,HBO,Home,Home,100K-125K,0,Urban,92,Yes,Skip,20,0,0,-1,Skip,Skip,Skip,0,2,-9.0,-9.0,-9.0,Never,FewAWeek,Never,Never,1,1,2,Daily
30017875,1,Home,HBSHOP,Shopping,BuyGoods,125K-150K,1,Urban,53,Yes,Skip,7,0,0,-1,Skip,Skip,Skip,5,2,-9.0,-9.0,-9.0,FewAYear,Daily,Never,FewAYear,1,2,2,Daily
