TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
-1,-9.0,3,3,0,0,0,0,2,2,11,3,69,2,1,1,3,1,0,30027416,2,2
-1,-9.0,3,8,0,0,3,7,3,4,0,0,34,2,2,0,1,1,0,30028661,1,0
-1,-9.0,3,3,0,0,3,7,3,2,8,0,34,2,2,0,1,1,0,30028661,1,0
30,4.99,4,12,0,0,1,10,3,8,0,0,36,2,2,0,1,1,0,30028661,2,0
30,4.99,4,3,0,0,1,10,3,2,12,0,36,2,2,0,1,1,0,30028661,2,0
-1,-9.0,3,14,0,1,0,7,3,6,0,2,11,2,2,0,1,1,0,30028661,3,0
-1,-9.0,3,3,0,1,0,7,3,2,14,2,11,2,2,0,1,1,0,30028661,3,0
-1,-9.0,2,7,0,0,0,2,1,3,0,0,73,5,0,0,9,3,2,30029010,1,1
-1,-9.0,2,3,0,0,0,2,1,2,7,0,73,5,0,0,9,3,2,30029010,1,1
-1,-9.0,0,6,0,0,0,2,1,0,0,0,73,5,0,0,9,3,2,30029010,1,1
-1,-9.0,1,7,0,0,0,2,1,3,6,0,73,5,0,0,9,3,2,30029010,1,1
-1,-9.0,2,3,0,0,0,2,1,2,7,0,73,5,0,0,9,3,2,30029010,1,1
15,12.25,4,12,0,0,2,0,1,8,0,0,58,2,1,0,2,1,0,30029762,1,0
15,12.25,4,3,0,0,2,0,1,2,12,0,58,2,1,0,2,1,0,30029762,1,0
50,22.67,4,12,0,0,2,10,4,8,0,0,27,2,2,0,7,1,0,30030912,1,2
50,22.67,4,3,0,0,2,10,4,2,12,0,27,2,2,0,7,1,0,30030912,1,2
60,22.67,3,8,0,0,1,5,4,4,0,0,27,4,2,0,7,1,0,30030912,2,2
60,22.67,1,12,0,0,1,5,4,8,8,0,27,4,2,0,7,1,0,30030912,2,2
60,22.67,1,8,0,0,1,5,4,4,12,0,27,4,2,0,7,1,0,30030912,2,2
60,22.67,3,3,0,0,1,5,4,2,8,0,27,4,2,0,7,1,0,30030912,2,2
-1,-9.0,3,14,0,1,0,7,4,6,0,0,6,3,2,0,7,1,0,30030912,3,2
-1,-9.0,3,3,0,1,0,7,4,2,14,0,6,3,2,0,7,1,0,30030912,3,2
-1,-9.0,3,3,0,1,0,7,4,2,0,0,6,3,2,0,7,1,0,30030912,3,2
35,16.15,4,12,0,0,1,5,6,8,0,0,50,2,4,0,8,1,0,30032429,1,2
35,16.15,4,3,0,0,1,5,6,2,12,0,50,2,4,0,8,1,0,30032429,1,2
-1,-9.0,0,4,0,0,3,10,6,0,0,0,49,2,4,0,8,1,0,30032429,2,2
-1,-9.0,0,15,0,0,3,10,6,2,4,0,49,2,4,0,8,1,0,30032429,2,2
35,16.15,4,12,0,0,1,2,6,8,0,0,20,4,4,0,8,1,0,30032429,3,2
35,16.15,1,14,0,0,1,2,6,6,12,0,20,4,4,0,8,1,0,30032429,3,2
35,16.15,1,7,0,0,1,2,6,3,14,0,20,4,4,0,8,1,0,30032429,3,2
35,16.15,2,3,0,0,1,2,6,2,7,0,20,4,4,0,8,1,0,30032429,3,2
35,16.15,3,14,0,0,1,2,6,6,0,0,20,5,4,0,8,1,0,30032429,4,2
35,16.15,1,12,0,0,1,2,6,8,14,0,20,5,4,0,8,1,0,30032429,4,2
35,16.15,4,3,0,0,1,2,6,2,12,0,20,5,4,0,8,1,0,30032429,4,2
